Starting simulation N=40, F_final=0.5, alpha=0.001

--- Phase 1: Adiabatic F ramp (mu fixed at 5.0) ---
F-Ramp Step: 3800, Time: 379.9, Current F: 0.38, Max bond dimensions: 5
F-Ramp Step: 3850, Time: 384.9, Current F: 0.385, Max bond dimensions: 5
F-Ramp Step: 3900, Time: 389.9, Current F: 0.39, Max bond dimensions: 5
F-Ramp Step: 3950, Time: 394.9, Current F: 0.395, Max bond dimensions: 5
F-Ramp Step: 4000, Time: 399.9, Current F: 0.4, Max bond dimensions: 5
F-Ramp Step: 4050, Time: 404.9, Current F: 0.405, Max bond dimensions: 5
F-Ramp Step: 4100, Time: 409.9, Current F: 0.41, Max bond dimensions: 5
F-Ramp Step: 4150, Time: 414.9, Current F: 0.415, Max bond dimensions: 5
F-Ramp Step: 4200, Time: 419.9, Current F: 0.42, Max bond dimensions: 5
F-Ramp Step: 4250, Time: 424.9, Current F: 0.425, Max bond dimensions: 5
F-Ramp Step: 4300, Time: 429.9, Current F: 0.43, Max bond dimensions: 5
F-Ramp Step: 4350, Time: 434.9, Current F: 0.435, Max bond dimensions: 5
F-Ramp Step: 4400, Time: 439.9, Current F: 0.44, Max bond dimensions: 5
F-Ramp Step: 4450, Time: 444.9, Current F: 0.445, Max bond dimensions: 5
F-Ramp Step: 4500, Time: 449.9, Current F: 0.45, Max bond dimensions: 5
F-Ramp Step: 4550, Time: 454.9, Current F: 0.455, Max bond dimensions: 5
F-Ramp Step: 4600, Time: 459.9, Current F: 0.46, Max bond dimensions: 5
F-Ramp Step: 4650, Time: 464.9, Current F: 0.465, Max bond dimensions: 5
F-Ramp Step: 4700, Time: 469.9, Current F: 0.47, Max bond dimensions: 5
F-Ramp Step: 4750, Time: 474.9, Current F: 0.475, Max bond dimensions: 5
F-Ramp Step: 4800, Time: 479.9, Current F: 0.48, Max bond dimensions: 5
F-Ramp Step: 4850, Time: 484.9, Current F: 0.485, Max bond dimensions: 4
F-Ramp Step: 4900, Time: 489.9, Current F: 0.49, Max bond dimensions: 4
F-Ramp Step: 4950, Time: 494.9, Current F: 0.495, Max bond dimensions: 4
F-Ramp Step: 5000, Time: 499.9, Current F: 0.5, Max bond dimensions: 5

--- Phase 2: Mu ramp-down with parallel averaging (F fixed at 0.5) ---
Scheduling averaging task (ID 1) for mu=5.0 at overall step 5001.
Mu-Ramp Step: 5050, Time in Mu-Ramp: 4.9, Current mu: 4.995, Max bond dimensions: 4
Mu-Ramp Step: 5100, Time in Mu-Ramp: 9.9, Current mu: 4.99, Max bond dimensions: 4
Mu-Ramp Step: 5150, Time in Mu-Ramp: 14.9, Current mu: 4.985, Max bond dimensions: 4
Mu-Ramp Step: 5200, Time in Mu-Ramp: 19.9, Current mu: 4.98, Max bond dimensions: 4
Mu-Ramp Step: 5250, Time in Mu-Ramp: 24.9, Current mu: 4.975, Max bond dimensions: 4
Mu-Ramp Step: 5300, Time in Mu-Ramp: 29.9, Current mu: 4.97, Max bond dimensions: 4
Mu-Ramp Step: 5350, Time in Mu-Ramp: 34.9, Current mu: 4.965, Max bond dimensions: 4
Mu-Ramp Step: 5400, Time in Mu-Ramp: 39.9, Current mu: 4.96, Max bond dimensions: 4
Mu-Ramp Step: 5450, Time in Mu-Ramp: 44.9, Current mu: 4.955, Max bond dimensions: 4
Mu-Ramp Step: 5500, Time in Mu-Ramp: 49.9, Current mu: 4.95, Max bond dimensions: 4
Mu-Ramp Step: 5550, Time in Mu-Ramp: 54.9, Current mu: 4.945, Max bond dimensions: 4
